Country;ISO3166_alpha3;pop;Years
Australia;AUS;11.593402;1966
Australia;AUS;11.899644;1967
Australia;AUS;12.215704;1968
Australia;AUS;12.518931;1969
Australia;AUS;12.79303;1970
Australia;AUS;13.03313;1971
Australia;AUS;13.244163;1972
Australia;AUS;13.43179;1973
Australia;AUS;13.605574;1974
Australia;AUS;13.77329;1975
Australia;AUS;13.935722;1976
Australia;AUS;14.092545;1977
Australia;AUS;14.249403;1978
Australia;AUS;14.413002;1979
Australia;AUS;14.5884;1980
Australia;AUS;14.777241;1981
Australia;AUS;14.979203;1982
Australia;AUS;15.194644;1983
Australia;AUS;15.423156;1984
Australia;AUS;15.663672;1985
Australia;AUS;15.91758;1986
Australia;AUS;16.183159;1987
Australia;AUS;16.452258;1988
Australia;AUS;16.713989;1989
Australia;AUS;16.9606;1990
Australia;AUS;17.189235;1991
Australia;AUS;17.402179;1992
Australia;AUS;17.603211;1993
Australia;AUS;17.798526;1994
Australia;AUS;17.993083;1995
Australia;AUS;18.189274;1996
Australia;AUS;18.387205;1997
Australia;AUS;18.587027;1998
Australia;AUS;18.788187;1999
Australia;AUS;18.991434;2000
Australia;AUS;19.194676;2001
Australia;AUS;19.401366;2002
Australia;AUS;19.624163;2003
Australia;AUS;19.879654;2004
Australia;AUS;20.178543;2005
Australia;AUS;20.5263;2006
Australia;AUS;20.916339;2007
Australia;AUS;21.332293;2008
Australia;AUS;21.750852;2009
Australia;AUS;22.154687;2010
Australia;AUS;22.538002;2011
Australia;AUS;22.903951;2012
Australia;AUS;23.254912;2013
Australia;AUS;23.596426;2014
Australia;AUS;23.932499;2015
Australia;AUS;24.26271;2016
Australia;AUS;24.584619;2017
Australia;AUS;24.898153;2018
Australia;AUS;25.2032;2019
Austria;AUT;7.305154;1965
Austria;AUT;7.352239;1966
Austria;AUT;7.397168;1967
Austria;AUT;7.439581;1968
Austria;AUT;7.47934;1969
Austria;AUT;7.516238;1970
Austria;AUT;7.550339;1971
Austria;AUT;7.58112;1972
Austria;AUT;7.607067;1973
Austria;AUT;7.62629;1974
Austria;AUT;7.637686;1975
Austria;AUT;7.640755;1976
Austria;AUT;7.636573;1977
Austria;AUT;7.627762;1978
Austria;AUT;7.617883;1979
Austria;AUT;7.60975;1980
Austria;AUT;7.604512;1981
Austria;AUT;7.602177;1982
Austria;AUT;7.6031;1983
Austria;AUT;7.607296;1984
Austria;AUT;7.614874;1985
Austria;AUT;7.625395;1986
Austria;AUT;7.639351;1987
Austria;AUT;7.658856;1988
Austria;AUT;7.686564;1989
Austria;AUT;7.723954;1990
Austria;AUT;7.772698;1991
Austria;AUT;7.830938;1992
Austria;AUT;7.892089;1993
Austria;AUT;7.947215;1994
Austria;AUT;7.990113;1995
Austria;AUT;8.017852;1996
Austria;AUT;8.032873;1997
Austria;AUT;8.041054;1998
Austria;AUT;8.051116;1999
Austria;AUT;8.069276;2000
Austria;AUT;8.097755;2001
Austria;AUT;8.134403;2002
Austria;AUT;8.175855;2003
Austria;AUT;8.21681;2004
Austria;AUT;8.253656;2005
Austria;AUT;8.285345;2006
Austria;AUT;8.313731;2007
Austria;AUT;8.341525;2008
Austria;AUT;8.372658;2009
Austria;AUT;8.409945;2010
Austria;AUT;8.453501;2011
Austria;AUT;8.50223;2012
Austria;AUT;8.556191;2013
Austria;AUT;8.615205;2014
Austria;AUT;8.678667;2015
Austria;AUT;8.747306;2016
Austria;AUT;8.819902;2017
Austria;AUT;8.891383;2018
Austria;AUT;8.955108;2019
Azerbaijan;AZE;4.592601;1965
Azerbaijan;AZE;4.721528;1966
Azerbaijan;AZE;4.843872;1967
Azerbaijan;AZE;4.960237;1968
Azerbaijan;AZE;5.07193;1969
Azerbaijan;AZE;5.180032;1970
Azerbaijan;AZE;5.284518;1971
Azerbaijan;AZE;5.385266;1972
Azerbaijan;AZE;5.483088;1973
Azerbaijan;AZE;5.579071;1974
Azerbaijan;AZE;5.674129;1975
Azerbaijan;AZE;5.76873;1976
Azerbaijan;AZE;5.863138;1977
Azerbaijan;AZE;5.957927;1978
Azerbaijan;AZE;6.053635;1979
Azerbaijan;AZE;6.150735;1980
Azerbaijan;AZE;6.249312;1981
Azerbaijan;AZE;6.349555;1982
Azerbaijan;AZE;6.452067;1983
Azerbaijan;AZE;6.557581;1984
Azerbaijan;AZE;6.666447;1985
Azerbaijan;AZE;6.778631;1986
Azerbaijan;AZE;6.893486;1987
Azerbaijan;AZE;7.010027;1988
Azerbaijan;AZE;7.126877;1989
Azerbaijan;AZE;7.242758;1990
Azerbaijan;AZE;7.357945;1991
Azerbaijan;AZE;7.471924;1992
Azerbaijan;AZE;7.581754;1993
Azerbaijan;AZE;7.683704;1994
Azerbaijan;AZE;7.775418;1995
Azerbaijan;AZE;7.855558;1996
Azerbaijan;AZE;7.925668;1997
